trajets;classe1;classe2;classe3;payage moyen;distance;cout investissement;net annuel par tarrification
TAOURIRT EST-TAZA EST;34;58;70;54;34;1013;270
TAOURIRT EST-TAZA OUEST;38;66;79;61;38;1144;305
TAOURIRT EST-OUED AMLIL;45;76;92;71;44;1331;355
TAOURIRT EST-TAHLA;52;90;108;83;52;1563;417
TAOURIRT EST-RAS TABOUDA;61;104;125;97;60;1813;483
TAOURIRT EST-FES EST;70;119;143;111;69;2075;553
TAOURIRT EST-FES SAIS;73;124;150;116;72;2169;578
TAOURIRT EST-FES VILLE;76;130;156;121;75;2263;603
TAOURIRT EST-AIN TAOUJTATE;83;141;171;132;82;2469;658
TAOURIRT EST-MEKNES EST;90;151;181;141;88;2638;703
TAOURIRT EST-MEKNES OUEST;93;157;189;146;91;2744;732
TAOURIRT EST-KHEMISSET;111;184;222;172;108;3231;862
TAOURIRT EST- TIFLET;120;195;235;183;115;3438;917
TAOURIRT EST-SIDI ALLAL AL BAHRAOUI;127;206;248;194;121;3631;968
RN19-GUERCIF;11;19;23;18;11;331;88
RN19-M'SOUN;24;40;49;38;24;706;188
RN19-TAZA EST;33;56;67;52;33;975;260
RN19-TAZA OUEST;36;61;74;57;36;1069;285
RN19-OUED AMLIL;44;74;90;69;43;1300;347
RN19-TAHLA;50;85;103;79;50;1488;397
RN19-RAS TABOUDA;59;100;121;93;58;1750;467
RN19-FES EST;68;115;138;107;67;2006;535
RN19-FES SAIS;71;121;146;113;70;2113;563
RN19-FES VILLE;73;124;150;116;72;2169;578
RN19-AIN TAOUJTATE;80;135;165;127;79;2375;633
RN19-MEKNES EST;86;145;175;135;85;2538;677
RN19-MEKNES OUEST;90;152;182;141;88;2650;707
RN19-KHEMISSET;108;179;215;167;105;3138;837
RN19- TIFLET;117;190;228;178;111;3344;892
RN19-SIDI ALLAL AL BAHRAOUI;123;201;241;188;118;3531;942
GUERCIF-M'SOUN;13;22;27;21;13;388;103
GUERCIF-TAZA EST;22;37;45;35;22;650;173
GUERCIF-TAZA OUEST;25;43;52;40;25;750;200
GUERCIF-OUED AMLIL;33;56;67;52;33;975;260
GUERCIF-TAHLA;39;67;80;62;39;1163;310
GUERCIF-RAS TABOUDA;48;82;99;76;48;1431;382
GUERCIF-FES EST;57;96;116;90;56;1681;448
GUERCIF-FES SAIS;60;103;124;96;60;1794;478
GUERCIF-FES VILLE;62;106;127;98;61;1844;492
GUERCIF-AIN TAOUJTATE;69;117;142;109;68;2050;547
GUERCIF-MEKNES EST;75;127;152;118;74;2213;590
GUERCIF-MEKNES OUEST;79;133;160;124;78;2325;620
GUERCIF-KHEMISSET;97;160;193;150;94;2813;750
GUERCIF- TIFLET;106;171;206;161;101;3019;805
